Num,Type of Burrito,Restaurant,Address,Near by,Cost ($),Overall Rating (out of 5),Provide Free Chips ?,Recipe,URL,Notes
1,California,Donato's taco shop,6780 Miramar Rd,Miramar,6.49,3.8,No,Beef; Pico; Guac; Cheese; Fries,http://donatostacoshop.net/,good fries: 4/5
2,California,Oscar's Mexican food,225 S Rancho Santa Fe Rd,San Marcos,5.45,3,No,Beef; Pico; Guac; Cheese; Fries,http://www.yelp.com/biz/oscars-mexican-food-san-marcos,Fries: 3/5; too little meat
3,Carnitas,Oscar's Mexican food,225 S Rancho Santa Fe Rd,San Marcos,4.85,3,No,Pico; Guac; Pork,http://www.yelp.com/biz/oscars-mexican-food-san-marcos,
4,Carne asada,Oscar's Mexican food,225 S Rancho Santa Fe Rd,San Marcos,5.25,3.75,No,Beef; Pico; Guac,http://www.yelp.com/biz/oscars-mexican-food-san-marcos,Go to average burrito place like Rigoberto's in la jolla; Terrible tamales
5,California,Pollos Maria,3055 Harding St,Carlsbad,6.59,4.2,Yes,Beef; Pico; Cheese; Fries,http://pollosmaria.com/,
6,combo chicken,Pollos Maria,3055 Harding St,Carlsbad,6.99,3.2,Yes,Guac; Cheese; Sour cream; Chicken; Rice; Beans; Lettuce; Tomato,http://pollosmaria.com/,
7,California,Nico's Taco Shop,3860 Valley Centre Dr #404,Carmel Valley,7.19,2.6,No,Beef; Cheese; Fries; Sour cream,http://www.yelp.com/biz/nicos-taco-shop-san-diego,not fries. big potatoes
8,Carnitas,Nico's Taco Shop,3860 Valley Centre Dr #404,Carmel Valley,6.99,3,No,Pico; Guac; Pork,http://www.yelp.com/biz/nicos-taco-shop-san-diego,
9,Monster California,Los Primos Mexican Food,7770 Regents Rd,UTC,9.25,3.9,Yes,Beef; Pico; Guac; Cheese; Fries; Sour cream,http://www.primosmex.com/,this tasted really bad leftover. not included in rating
10,Carne asada,JV's Mexican Food,1112 Morena Blvd,Morena,6.25,2,No,Beef; Pico; Guac,http://jvsmexfood.com/,
